base,esquema,tipo,nombre,base_destino_postgresql,esquema_destino,sin_destino,sistemas_uso
catastro_gdl,informix,SP,addtoset2_iter,padron_licencias,comun,NO,
catastro_gdl,informix,SP,adeudo_licencias_especial,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08_18,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08_ac,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08_rec0,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_0819,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08bf,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08bf17,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08ivan,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08odoo,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08res13nov,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08respal,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_08x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_09,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_10,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_10a,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_10act,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_10b,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_10resp8mar,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_10xx,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_11,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_12,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_12x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_15,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_16kio,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_adeudos_detalle_31,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_cancela_09,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_cancela_10,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_cancela_12,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_cancela_15,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_cancela_27,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_07,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_08,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_08_reg0,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_09,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_10,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_11,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_12,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_12x,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_datos_varios_15,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_01,padron_licencias,comun,NO,
catastro_gdl,informix,SP,admin_encabezados_07,padron_licencias,comun,NO,
